"pptid","Condition","Match","Bet.Category","Subcategory","Bet.Description","Stake","Potential.Payout"
"F.1296","Control","","","Endowment","Unspent",0,0
"F.0763","Control","","","Endowment","Unspent",3,3
"F.1301","Treatment","","","Endowment","Unspent",0,0
"F.1032","Treatment","","","Endowment","Unspent",3,3
"F.0447","Control","","","Endowment","Unspent",0,0
"F.0639","Treatment","","","Endowment","Unspent",3,3
"F.1282","Treatment","","","Endowment","Unspent",3,3
"F.1049","Control","","","Endowment","Unspent",3,3
"F.1127","Control","","","Endowment","Unspent",3,3
"F.0719","Treatment","","","Endowment","Unspent",2,2
"F.0044","Control","","","Endowment","Unspent",0,0
"F.1228","Control","","","Endowment","Unspent",2,2
"F.0382","Treatment","","","Endowment","Unspent",0,0
"F.0951","Treatment","","","Endowment","Unspent",3,3
"F.0690","Treatment","","","Endowment","Unspent",0,0
"F.1088","Control","","","Endowment","Unspent",3,3
"F.1019","Control","","","Endowment","Unspent",3,3
"F.1005","Treatment","","","Endowment","Unspent",0,0
"F.1239","Treatment","","","Endowment","Unspent",3,3
"F.0148","Treatment","","","Endowment","Unspent",0,0
"F.0407","Control","","","Endowment","Unspent",0,0
"F.0012","Treatment","","","Endowment","Unspent",3,3
"F.0495","Control","","","Endowment","Unspent",3,3
"F.0403","Control","","","Endowment","Unspent",3,3
"F.1001","Control","","","Endowment","Unspent",1,1
"F.0404","Treatment","","","Endowment","Unspent",0,0
"F.0318","Treatment","","","Endowment","Unspent",3,3
"F.0227","Control","","","Endowment","Unspent",3,3
"F.0815","Control","","","Endowment","Unspent",3,3
"F.0396","Treatment","","","Endowment","Unspent",3,3
"F.0905","Treatment","","","Endowment","Unspent",1.99,1.99
"F.0589","Control","","","Endowment","Unspent",3,3
